año,comuna,CIIU,sección,descripción sección,división,descripción división,grupo,descripción grupo,clase,descripción clase,empresas
2018,Altavista,1083,C,INDUSTRIAS MANUFACTURERAS,10,Elaboración de productos alimenticios,108,Elaboración de otros productos alimenticios,1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",0
2018,Altavista,1084,C,INDUSTRIAS MANUFACTURERAS,10,Elaboración de productos alimenticios,108,Elaboración de otros productos alimenticios,1084,Elaboración de comidas y platos preparados,0
2018,Altavista,1089,C,INDUSTRIAS MANUFACTURERAS,10,Elaboración de productos alimenticios,108,Elaboración de otros productos alimenticios,1089,Elaboración de otros productos alimenticios n.c.p.,0
2018,Altavista,1090,C,INDUSTRIAS MANUFACTURERAS,10,Elaboración de productos alimenticios,109,Elaboración de alimentos preparados para animales,1090,Elaboración de alimentos preparados para animales,0
2018,Altavista,1101,C,INDUSTRIAS MANUFACTURERAS,11,Elaboración de bebidas,110,Elaboración de bebidas,1101,"Destilación, rectificación y mezcla de bebidas alcohólicas",0
2018,Altavista,1102,C,INDUSTRIAS MANUFACTURERAS,11,Elaboración de bebidas,110,Elaboración de bebidas,1102,Elaboración de bebidas fermentadas no destiladas,0
2018,Altavista,1103,C,INDUSTRIAS MANUFACTURERAS,11,Elaboración de bebidas,110,Elaboración de bebidas,1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",0
2018,Altavista,1104,C,INDUSTRIAS MANUFACTURERAS,11,Elaboración de bebidas,110,Elaboración de bebidas,1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",0
2018,Altavista,1200,C,INDUSTRIAS MANUFACTURERAS,12,Elaboración de productos de tabaco,120,Elaboración de productos de tabaco,1200,Elaboración de productos de tabaco,0
2018,Altavista,1311,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,131,"Preparación, hilatura, tejeduría y acabado de productos textiles",1311,Preparación e hilatura de fibras textiles,0
2018,Altavista,1312,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,131,"Preparación, hilatura, tejeduría y acabado de productos textiles",1312,Tejeduría de productos textiles,0
2018,Altavista,1313,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,131,"Preparación, hilatura, tejeduría y acabado de productos textiles",1313,Acabado de productos textiles,0
2018,Altavista,1391,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,139,Fabricación de otros productos textiles,1391,Fabricación de tejidos de punto y ganchillo,0
2018,Altavista,1392,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,139,Fabricación de otros productos textiles,1392,"Confección de artículos con materiales textiles, excepto prendas de vestir",0
2018,Altavista,1393,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,139,Fabricación de otros productos textiles,1393,Fabricación de tapetes y alfombras para pisos,0
2018,Altavista,1394,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,139,Fabricación de otros productos textiles,1394,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",0
2018,Altavista,1399,C,INDUSTRIAS MANUFACTURERAS,13,Fabricación de productos textiles,139,Fabricación de otros productos textiles,1399,Fabricación de otros artículos textiles n.c.p.,0
2018,Altavista,1410,C,INDUSTRIAS MANUFACTURERAS,14,Confección de prendas de vestir,141,"Confección de prendas de vestir, excepto prendas de piel",1410,"Confección de prendas de vestir, excepto prendas de piel",0
2018,Altavista,1420,C,INDUSTRIAS MANUFACTURERAS,14,Confección de prendas de vestir,142,Fabricación de artículos de piel,1420,Fabricación de artículos de piel,0
2018,Altavista,1430,C,INDUSTRIAS MANUFACTURERAS,14,Confección de prendas de vestir,143,Fabricación de artículos de punto y ganchillo,1430,Fabricación de artículos de punto y ganchillo,0
2018,Altavista,1511,C,INDUSTRIAS MANUFACTURERAS,15,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles",151,"Curtido y recurtido de cueros; fabricación de artículos de viaje, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería, adobo y teñido de pieles",1511,Curtido y recurtido de cueros; recurtido y teñido de pieles,0
