comuna,año,level_2,empresas
Aranjuez,2019,3057,31
Aranjuez,2019,3058,17
Aranjuez,2019,3059,53
Aranjuez,2019,3060,53
Aranjuez,2019,3061,32
Aranjuez,2019,3064,24
Aranjuez,2019,3067,82
Aranjuez,2019,3071,35
Aranjuez,2019,3072,38
Aranjuez,2019,3075,75
Aranjuez,2019,3076,17
Aranjuez,2019,3077,91
Aranjuez,2019,3078,30
Aranjuez,2019,3083,17
Aranjuez,2019,3085,44
Aranjuez,2019,3090,33
Aranjuez,2019,3100,23
Aranjuez,2019,3115,153
Aranjuez,2019,3116,14
Aranjuez,2019,3117,61
Aranjuez,2019,3118,117
Aranjuez,2019,3119,13
Aranjuez,2019,3121,174
Aranjuez,2019,3137,13
Aranjuez,2019,3138,30
Aranjuez,2019,3168,18
Aranjuez,2019,3174,18
Aranjuez,2019,3178,19
Aranjuez,2019,3209,39
Aranjuez,2019,3255,31
Aranjuez,2019,3273,113
Aranjuez,2019,3275,19
Aranjuez,2020,3339,76
Aranjuez,2020,3342,14
Aranjuez,2020,3343,14
Aranjuez,2020,3358,94
Aranjuez,2020,3364,12
Aranjuez,2020,3375,19
Aranjuez,2020,3394,22
Aranjuez,2020,3401,11
Aranjuez,2020,3408,21
Aranjuez,2020,3455,38
Aranjuez,2020,3462,12
Aranjuez,2020,3464,13
Aranjuez,2020,3482,33
Aranjuez,2020,3484,40
Aranjuez,2020,3488,16
Aranjuez,2020,3491,14
Aranjuez,2020,3494,40
Aranjuez,2020,3495,14
Aranjuez,2020,3498,90
Aranjuez,2020,3499,42
Aranjuez,2020,3500,16
Aranjuez,2020,3501,23
Aranjuez,2020,3504,21
Aranjuez,2020,3518,13
Aranjuez,2020,3520,21
Aranjuez,2020,3523,299
Aranjuez,2020,3524,109
Aranjuez,2020,3525,32
Aranjuez,2020,3526,21
Aranjuez,2020,3527,49
Aranjuez,2020,3528,66
Aranjuez,2020,3529,28
Aranjuez,2020,3531,11
Aranjuez,2020,3532,21
Aranjuez,2020,3534,11
Aranjuez,2020,3535,69
Aranjuez,2020,3537,12
Aranjuez,2020,3538,12
Aranjuez,2020,3539,36
Aranjuez,2020,3540,42
Aranjuez,2020,3543,65
Aranjuez,2020,3544,14
Aranjuez,2020,3545,99
Aranjuez,2020,3546,20
Aranjuez,2020,3551,25
Aranjuez,2020,3553,42
Aranjuez,2020,3555,11
Aranjuez,2020,3557,30
Aranjuez,2020,3567,23
Aranjuez,2020,3573,11
Aranjuez,2020,3582,133
Aranjuez,2020,3583,11
Aranjuez,2020,3584,46
Aranjuez,2020,3585,72
Aranjuez,2020,3586,14
Aranjuez,2020,3588,131
Aranjuez,2020,3605,25
Aranjuez,2020,3637,18
Aranjuez,2020,3643,15
Aranjuez,2020,3647,16
Aranjuez,2020,3678,35
Aranjuez,2020,3724,35
Aranjuez,2020,3742,106
Aranjuez,2020,3744,24
Aranjuez,2021,3811,80
Aranjuez,2021,3815,24
Aranjuez,2021,3829,105
Aranjuez,2021,3840,15
Aranjuez,2021,3846,20
Aranjuez,2021,3865,18
Aranjuez,2021,3879,31
Aranjuez,2021,3885,16
Aranjuez,2021,3926,43
Aranjuez,2021,3935,17
Aranjuez,2021,3953,38
Aranjuez,2021,3955,55
Aranjuez,2021,3959,33
Aranjuez,2021,3962,22
Aranjuez,2021,3965,49
Aranjuez,2021,3966,19
Aranjuez,2021,3969,93
Aranjuez,2021,3970,46
Aranjuez,2021,3971,18
Aranjuez,2021,3972,25
Aranjuez,2021,3975,27
Aranjuez,2021,3989,18
Aranjuez,2021,3991,26
Aranjuez,2021,3994,326
Aranjuez,2021,3995,131
Aranjuez,2021,3996,31
Aranjuez,2021,3997,22
Aranjuez,2021,3998,66
Aranjuez,2021,3999,65
Aranjuez,2021,4000,27
Aranjuez,2021,4003,31
Aranjuez,2021,4005,13
Aranjuez,2021,4006,75
Aranjuez,2021,4008,13
Aranjuez,2021,4010,44
Aranjuez,2021,4011,40
Aranjuez,2021,4014,106
Aranjuez,2021,4015,13
Aranjuez,2021,4016,118
Aranjuez,2021,4017,27
Aranjuez,2021,4022,46
Aranjuez,2021,4024,38
Aranjuez,2021,4027,13
Aranjuez,2021,4029,43
Aranjuez,2021,4040,20
Aranjuez,2021,4046,14
Aranjuez,2021,4055,161
Aranjuez,2021,4056,15
Aranjuez,2021,4057,50
Aranjuez,2021,4058,101
Aranjuez,2021,4061,149
Aranjuez,2021,4078,41
Aranjuez,2021,4079,15
Aranjuez,2021,4110,16
Aranjuez,2021,4113,32
Aranjuez,2021,4118,22
Aranjuez,2021,4121,14
Aranjuez,2021,4125,25
Aranjuez,2021,4129,17
Aranjuez,2021,4141,13
Aranjuez,2021,4153,13
Aranjuez,2021,4156,49
Aranjuez,2021,4185,14
Aranjuez,2021,4205,39
Aranjuez,2021,4215,14
Aranjuez,2021,4224,120
Aranjuez,2021,4226,38
Aranjuez,2022,4290,85
Aranjuez,2022,4294,24
Aranjuez,2022,4308,109
Aranjuez,2022,4319,21
Aranjuez,2022,4325,22
Aranjuez,2022,4343,18
Aranjuez,2022,4357,38
Aranjuez,2022,4405,48
Aranjuez,2022,4414,19
Aranjuez,2022,4432,38
Aranjuez,2022,4434,53
Aranjuez,2022,4438,30
Aranjuez,2022,4441,28
Aranjuez,2022,4444,65
Aranjuez,2022,4445,19
Aranjuez,2022,4448,114
Aranjuez,2022,4449,48
Aranjuez,2022,4450,28
Aranjuez,2022,4451,27
Aranjuez,2022,4454,26
Aranjuez,2022,4468,20
Aranjuez,2022,4470,32
Aranjuez,2022,4473,334
Aranjuez,2022,4474,142
Aranjuez,2022,4475,30
Aranjuez,2022,4476,23
Aranjuez,2022,4477,64
Aranjuez,2022,4478,65
Aranjuez,2022,4479,35
Aranjuez,2022,4482,36
Aranjuez,2022,4485,89
Aranjuez,2022,4489,54
Aranjuez,2022,4490,41
Aranjuez,2022,4493,114
Aranjuez,2022,4495,132
Aranjuez,2022,4496,38
Aranjuez,2022,4501,39
Aranjuez,2022,4503,40
Aranjuez,2022,4508,43
Aranjuez,2022,4517,23
Aranjuez,2022,4532,160
Aranjuez,2022,4533,19
