año,total_empresas_ciudad,diferencia_anual,HHI,diversification,gini
2018,95137,,0.11105497657273757,9.00454919591137,0.5962420700482653
2019,98600,3463.0,0.1119460250813622,8.932876350662754,0.5989221832933801
2020,91286,-7314.0,0.11292227330511469,8.855648852357156,0.6010480547649445
2021,96811,5525.0,0.1008590494335664,9.914826737076059,0.5340879746009328
2022,105182,8371.0,0.09983845417076077,10.016180722205787,0.5121901258597652
